season,player_id,person_id,career_id,name,bats,throws,position,height_in,weight_lb,dob,hometown,status,jersey,team_slug
2024,v1f1putp8f776blk,v1f1putp8f776blk,career:b0fe4ed8d7562eb9,Kyle Booker,L,R,OF,71,185,2002-01-23,"Southhaven, MS",Active,8,billingsmustangs
2024,zk4oi8kjczby9ezm,zk4oi8kjczby9ezm,career:04610743d1433e97,Connor Denning,S,R,3B,71,205,1998-07-18,"Phoenix, AZ",Active,9,billingsmustangs
2024,gl1jcq8qppfyn90p,gl1jcq8qppfyn90p,career:cc22a5f14eefc09d,Jacob Bradshaw,R,R,RHP,74,210,2001-12-14,"Macon, GA",Inactive,11,billingsmustangs
2024,o37lgkrkc5ic47nv,o37lgkrkc5ic47nv,career:787e73d560334aed,Evan Blum,L,R,C,72,200,,"Bethesda, MD",Active,13,billingsmustangs
2024,urrj3d3z0tz4cn7i,urrj3d3z0tz4cn7i,career:57ba42ec342a02b8,Blake Evans,L,R,SS,70,180,,"Acworth, GA",Active,14,billingsmustangs
2024,ldrju9y5e4of7x17,ldrju9y5e4of7x17,career:80817737beb4c165,Earl Johnson,R,R,RHP,,,2000-12-26,"Oroville, CA",Active,15,billingsmustangs
2024,rtsub2l82s7ry2qn,rtsub2l82s7ry2qn,career:5d0a6544753b83f9,Wyatt Crenshaw,L,R,OF,,185,2000-04-21,"Chandler, AZ",Active,16,billingsmustangs
2024,qzdcpz52zu03943j,qzdcpz52zu03943j,career:6cd268be7eba5d50,Brendan Medoro,R,R,RHP,73,188,,"Lake Worth, FL",Active,17,billingsmustangs
2024,k8qc25u48rqsc4bp,k8qc25u48rqsc4bp,career:603934653f55b59b,Greg Blackman,R,R,RHP,70,195,,"La Grange, OR",Active,18,billingsmustangs
2024,86umucj67wa7b160,86umucj67wa7b160,career:d249ffed711e895c,Casey Harford,R,R,INF,,185,1998-09-05,"Cordova, TN",Active,19,billingsmustangs
2024,sjn5syumdjjq7671,sjn5syumdjjq7671,career:c66c5828627d8fcb,Abe Valdez,R,R,C,71,185,1997-12-02,"San Diego, CA",Active,21,billingsmustangs
2024,thi7ecydmzhu5baz,thi7ecydmzhu5baz,career:cad297c6ab43e1fc,Gabe Wurtz,R,R,OF/1B,76,230,,"Marbury, AL",Active,22,billingsmustangs
2024,kgffa368lrq9k6fz,kgffa368lrq9k6fz,career:75374abc109bf5d1,Brendan Ryan,L,R,UTL,72,190,,"Leawood, KS",Active,23,billingsmustangs
2024,u7cwgjy128v3l4u1,u7cwgjy128v3l4u1,career:17c1a91a7558f0be,Jacob Kline,R,R,INF,75,195,1999-05-24,"Akron, OH",Active,24,billingsmustangs
2024,uac52j0s2d643hr2,uac52j0s2d643hr2,career:4c1749db60879a68,Grant Taylor,R,R,RHP,76,225,,"Murrieta, CA",Active,27,billingsmustangs
2024,omnwf34xpdpqbs1r,omnwf34xpdpqbs1r,career:5086dfe2e8374e36,Luke Trueman,L,R,P,,,,"McCandless, PA",Inactive,28,billingsmustangs
2024,mteel8sz0vl9wpzt,mteel8sz0vl9wpzt,career:a9c24b21338bd802,Daniel Willie,R,R,RHP,75,190,1999-02-22,"Ooltewah, TN",Active,30,billingsmustangs
2024,e4ud55qmkhsplg3u,e4ud55qmkhsplg3u,career:570f0a36ba62a950,Joey Hennessey,R,R,RHP,77,210,,"Coconut Creek, FL",Active,34,billingsmustangs
2024,zmay367fih2musea,zmay367fih2musea,career:d7e0c4972ad9a136,Patrick Maybach,R,L,LHP,75,210,1998-01-09,"Newport, RI",Inactive,35,billingsmustangs
2024,lcuma9misvrey3bx,lcuma9misvrey3bx,career:2bbc15ffb354d56a,Ethan Ross,L,L,LHP,74,190,,"Imperial, CA",Active,35,billingsmustangs
2024,mc72oxz3nc4bmmab,mc72oxz3nc4bmmab,career:bd7a930568eee77a,Justin Fuson,R,R,RHP,72,195,,"Fresno, CA",Active,36,billingsmustangs
2024,0w78rn1gzg0fi660,0w78rn1gzg0fi660,career:1d72420dc25d9b2e,Briley Knight,L,R,OF,70,200,1999-06-22,"Corvalis, OR",Inactive,37,billingsmustangs
2024,jpedyqg9ytsempza,jpedyqg9ytsempza,career:0d790e5b44b54b24,Dylan Leach,S,R,C,71,210,,"Carthage, TX",Active,39,billingsmustangs
2024,ba1j7id31wk2p3cr,ba1j7id31wk2p3cr,career:f6bb62a4f76d1c9b,Kyle Mosley,R,R,RHP,74,160,,"Mansfield, TX",Inactive,40,billingsmustangs
2024,l4hhv2hkq5nc9mp5,l4hhv2hkq5nc9mp5,career:de45435d126ea18f,Jason Rooks,R,R,OF,74,220,1998-09-18,"Marietta, GA",Inactive,41,billingsmustangs
